calciatore,ruolo,squadra,fantasquadra,costo,budget_lega,costo_pct,costo_normalizzato_1000,anno_asta,stagione_asta,prev_season
Zambo Anguissa,C,Nap,LaHaine,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
Lindstrom,C,Nap,LaHaine,15.0,1000.0,1.5,15.0,2024,2024-25,2023-24
De Ketelaere,C,Ata,LaHaine,12.0,1000.0,1.2,12.0,2024,2024-25,2023-24
Reijnders,C,Mil,LaHaine,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Chiesa,A,Juv,LaHaine,86.0,1000.0,8.6,86.0,2024,2024-25,2023-24
Jovic,A,Mil,LaHaine,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Martinez L.,A,Int,LaHaine,400.0,1000.0,40.0,400.0,2024,2024-25,2023-24
Thuram,A,Int,LaHaine,120.0,1000.0,12.0,120.0,2024,2024-25,2023-24
Ngonge,A,Ver,LaHaine,14.0,1000.0,1.4,14.0,2024,2024-25,2023-24
Okafor,A,Mil,LaHaine,11.0,1000.0,1.1,11.0,2024,2024-25,2023-24
Audero,P,Int,AC Picchia,1.0,1000.0,0.1,1.0,2024,2024-25,2023-24
Di Gennaro,P,Int,AC Picchia,1.0,1000.0,0.1,1.0,2024,2024-25,2023-24
Sommer,P,Int,AC Picchia,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
Biraghi,D,Fio,AC Picchia,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
D'ambrosio,D,Mon,AC Picchia,7.0,1000.0,0.7,7.0,2024,2024-25,2023-24
Romagnoli,D,Laz,AC Picchia,12.0,1000.0,1.2,12.0,2024,2024-25,2023-24
Acerbi,D,Int,AC Picchia,10.0,1000.0,1.0,10.0,2024,2024-25,2023-24
Milenkovic,D,Fio,AC Picchia,12.0,1000.0,1.2,12.0,2024,2024-25,2023-24
Darmian,D,Int,AC Picchia,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
Pavard,D,Int,AC Picchia,14.0,1000.0,1.4,14.0,2024,2024-25,2023-24
Dumfries,D,Int,AC Picchia,19.0,1000.0,1.9,19.0,2024,2024-25,2023-24
El Shaarawy,C,Rom,AC Picchia,25.0,1000.0,2.5,25.0,2024,2024-25,2023-24
Mkhitaryan,C,Int,AC Picchia,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Pessina,C,Mon,AC Picchia,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
Guendouzi,C,Laz,AC Picchia,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Strefezza,C,Lec,AC Picchia,40.0,1000.0,4.0,40.0,2024,2024-25,2023-24
Weah,C,Juv,AC Picchia,10.0,1000.0,1.0,10.0,2024,2024-25,2023-24
Harroui,C,Fro,AC Picchia,8.0,1000.0,0.8,8.0,2024,2024-25,2023-24
Kamada,C,Laz,AC Picchia,15.0,1000.0,1.5,15.0,2024,2024-25,2023-24
Immobile,A,Laz,AC Picchia,304.0,1000.0,30.4,304.0,2024,2024-25,2023-24
Giroud,A,Mil,AC Picchia,119.0,1000.0,11.9,119.0,2024,2024-25,2023-24
Lookman,A,Ata,AC Picchia,91.0,1000.0,9.1,91.0,2024,2024-25,2023-24
Nzola,A,Fio,AC Picchia,52.0,1000.0,5.2,52.0,2024,2024-25,2023-24
Lauriente',A,Sas,AC Picchia,45.0,1000.0,4.5,45.0,2024,2024-25,2023-24
Krstovic,A,Lec,AC Picchia,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Meret,P,Nap,Pro Secco,29.0,1000.0,2.9,29.0,2024,2024-25,2023-24
Gollini,P,Nap,Pro Secco,1.0,1000.0,0.1,1.0,2024,2024-25,2023-24
Terracciano,P,Fio,Pro Secco,10.0,1000.0,1.0,10.0,2024,2024-25,2023-24
Marchizza,D,Fro,Pro Secco,6.0,1000.0,0.6,6.0,2024,2024-25,2023-24
Bremer,D,Juv,Pro Secco,21.0,1000.0,2.1,21.0,2024,2024-25,2023-24
Di Lorenzo,D,Nap,Pro Secco,29.0,1000.0,2.9,29.0,2024,2024-25,2023-24
Hernandez T.,D,Mil,Pro Secco,60.0,1000.0,6.0,60.0,2024,2024-25,2023-24
Zappa,D,Cag,Pro Secco,6.0,1000.0,0.6,6.0,2024,2024-25,2023-24
Monterisi,D,Fro,Pro Secco,4.0,1000.0,0.4,4.0,2024,2024-25,2023-24
Caldirola,D,Mon,Pro Secco,7.0,1000.0,0.7,7.0,2024,2024-25,2023-24
Posch,D,Bol,Pro Secco,17.0,1000.0,1.7,17.0,2024,2024-25,2023-24
Felipe Anderson,C,Laz,Pro Secco,49.0,1000.0,4.9,49.0,2024,2024-25,2023-24
Barella,C,Int,Pro Secco,45.0,1000.0,4.5,45.0,2024,2024-25,2023-24
Pasalic,C,Ata,Pro Secco,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Orsolini,C,Bol,Pro Secco,47.0,1000.0,4.7,47.0,2024,2024-25,2023-24
Samardzic,C,Udi,Pro Secco,17.0,1000.0,1.7,17.0,2024,2024-25,2023-24
Ederson D.s.,C,Ata,Pro Secco,12.0,1000.0,1.2,12.0,2024,2024-25,2023-24
Lovric,C,Udi,Pro Secco,15.0,1000.0,1.5,15.0,2024,2024-25,2023-24
Ferguson,C,Bol,Pro Secco,27.0,1000.0,2.7,27.0,2024,2024-25,2023-24
Dybala,A,Rom,Pro Secco,76.0,1000.0,7.6,76.0,2024,2024-25,2023-24
Sanabria,A,Tor,Pro Secco,23.0,1000.0,2.3,23.0,2024,2024-25,2023-24
Berardi,A,Sas,Pro Secco,74.0,1000.0,7.4,74.0,2024,2024-25,2023-24
Caprari,A,Mon,Pro Secco,42.0,1000.0,4.2,42.0,2024,2024-25,2023-24
Milik,A,Juv,Pro Secco,50.0,1000.0,5.0,50.0,2024,2024-25,2023-24
Vlahovic,A,Juv,Pro Secco,310.0,1000.0,31.0,310.0,2024,2024-25,2023-24
Szczesny,P,Juv,Best Brau Imperia,21.0,1000.0,2.1,21.0,2024,2024-25,2023-24
Milinkovic-Savic V.,P,Tor,Best Brau Imperia,14.0,1000.0,1.4,14.0,2024,2024-25,2023-24
Musso,P,Ata,Best Brau Imperia,4.0,1000.0,0.4,4.0,2024,2024-25,2023-24
Faraoni,D,Ver,Best Brau Imperia,9.0,1000.0,0.9,9.0,2024,2024-25,2023-24
Cuadrado,D,Int,Best Brau Imperia,17.0,1000.0,1.7,17.0,2024,2024-25,2023-24
Mancini,D,Rom,Best Brau Imperia,11.0,1000.0,1.1,11.0,2024,2024-25,2023-24
Danilo,D,Juv,Best Brau Imperia,20.0,1000.0,2.0,20.0,2024,2024-25,2023-24
Vojvoda,D,Tor,Best Brau Imperia,6.0,1000.0,0.6,6.0,2024,2024-25,2023-24
Ruggeri,D,Ata,Best Brau Imperia,4.0,1000.0,0.4,4.0,2024,2024-25,2023-24
Parisi,D,Fio,Best Brau Imperia,8.0,1000.0,0.8,8.0,2024,2024-25,2023-24
Dodo',D,Fio,Best Brau Imperia,8.0,1000.0,0.8,8.0,2024,2024-25,2023-24
Politano,C,Nap,Best Brau Imperia,15.0,1000.0,1.5,15.0,2024,2024-25,2023-24
Zaccagni,C,Laz,Best Brau Imperia,78.0,1000.0,7.8,78.0,2024,2024-25,2023-24
Luis Alberto,C,Laz,Best Brau Imperia,53.0,1000.0,5.3,53.0,2024,2024-25,2023-24
Rabiot,C,Juv,Best Brau Imperia,41.0,1000.0,4.1,41.0,2024,2024-25,2023-24
Kostic,C,Juv,Best Brau Imperia,14.0,1000.0,1.4,14.0,2024,2024-25,2023-24
Chukwueze,C,Mil,Best Brau Imperia,24.0,1000.0,2.4,24.0,2024,2024-25,2023-24
Ilic,C,Tor,Best Brau Imperia,13.0,1000.0,1.3,13.0,2024,2024-25,2023-24
Baldanzi,C,Emp,Best Brau Imperia,16.0,1000.0,1.6,16.0,2024,2024-25,2023-24
Belotti,A,Rom,Best Brau Imperia,12.0,1000.0,1.2,12.0,2024,2024-25,2023-24
Scamacca,A,Ata,Best Brau Imperia,39.0,1000.0,3.9,39.0,2024,2024-25,2023-24
Lukaku,A,Rom,Best Brau Imperia,200.0,1000.0,20.0,200.0,2024,2024-25,2023-24
Gonzalez N.,A,Fio,Best Brau Imperia,60.0,1000.0,6.0,60.0,2024,2024-25,2023-24
Arnautovic,A,Int,Best Brau Imperia,40.0,1000.0,4.0,40.0,2024,2024-25,2023-24
Beltran L.,A,Fio,Best Brau Imperia,15.0,1000.0,1.5,15.0,2024,2024-25,2023-24
